Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price
2021 Porsche Macan GTS,38336,3.7,479,Used,400,86996
2020 Tesla Model Y Long Range,7215,4.4,1783,Used,1500,66900
2020 Lexus IS 350 Base,25801,4.5,54,Used,450,27999
2016 Acura ILX 2.4L,20577,4.8,921,Used,1154,17000
2017 Ford Escape Titanium,67492,3.2,739,Used,267,22977
2017 Lexus GX 460 Base,57282,4.7,720,Used,2243,37672
2019 Mazda CX-5 Touring,81060,4.1,11,Used,904,29998
2019 Mercedes-Benz C-Class C 300 4MATIC,19382,4.5,1685,Used,360,35992
2017 Ford Explorer XLT,13738,4.6,8,Used,1000,26998
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,41961,4.3,660,Used,3051,51477
2018 Mercedes-Benz AMG E 63 S 4MATIC,14210,4,1038,Mercedes-Benz Certified,1930,84995
2020 Lexus RX 450hL Base,12195,4.9,97,Used,900,56500
2020 Jeep Grand Cherokee Limited,11559,2.9,183,Used,1844,43645
2016 Chevrolet Corvette Stingray Z51,44502,4.8,511,Used,1044,58500
2017 Mercedes-Benz E-Class E 300 4MATIC,14163,4.7,42,Used,405,31862
2019 Lexus RX 350 350,13990,4.3,1558,Used,1000,44994
2022 Toyota Highlander Platinum,11711,4.4,71,Toyota Certified,300,51988
2016 Toyota Sienna Limited Premium,27070,4.6,160,Used,600,38000
2019 Land Rover Range Rover Velar P250 S,20054,4.6,310,Used,659,49620
2020 Jaguar E-PACE SE,16133,4.5,241,Used,1500,47994
2020 Subaru Forester Premium,21699,4.3,555,Subaru Certified,2565,32252
2018 Jeep Wrangler Unlimited Sport,43098,4.4,1070,Used,405,0
2021 Acura ILX Premium Package,58324,4.9,1383,Used,720,31000
2020 Jaguar E-PACE SE,13054,3.2,1760,Used,1700,46494
2018 Ford Escape SE,Mileage,4.7,373,Ford Certified,979,25000
2012 Lexus ES 350 Base,24991,4.6,239,Used,400,18992
2021 Toyota Tundra SR5,86690,4.7,61,Used,375,46326
2020 Jeep Grand Cherokee Overland,16258,4.2,9077,Used,500,39590
2019 Honda CR-V EX-L,38679,4.5,86,Used,2000,33125
2016 BMW X5 xDrive50i,22942,3.7,61,Used,500,26600
2021 Acura RDX A-Spec,96200,2.7,20,Acura Certified,500,44684
2016 Toyota Prius Two,15490,4.8,450,Used,122,21999
2019 Honda CR-V EX-L,82012,4.7,1913,Used,1000,31499
2020 Toyota Camry SE,21868,4.6,573,Used,1994,28998
2018 Jeep Grand Cherokee Limited,17262,4.7,406,Used,1000,35368
2016 Mercedes-Benz C-Class C 300,19330,4.5,571,Used,200,25745
2020 Volvo V60 T5 Momentum,54442,4.5,363,Used,1001,31988
2020 RAM 1500 Big Horn,32305,4.2,380,Used,500,46998
2021 Mazda CX-5 Grand Touring,22118,4.5,169,Used,1334,29034
2012 Mercedes-Benz S-Class S 550 4MATIC,45935,4.6,163,Used,500,25695
2021 GMC Yukon Denali,59725,3.8,126,Used,111,75900
2003 Chevrolet Express 3500 ,46488,4.8,1686,Used,242,18993
2017 INFINITI Q70L 3.7,19305,4.9,189,Used,708,34606
2021 Toyota RAV4 XLE,30152,4.2,762,Toyota Certified,1076,34845
2021 Honda Passport EX-L,4563,1.6,28,Used,993,38666
2019 BMW X5 xDrive40i,17862,4.6,143,Used,2000,42777
2020 Tesla Model Y Long Range,68762,2.2,12,Used,1500,67997
2018 BMW 530e xDrive iPerformance,16500,3.4,24,Used,2356,35998
2019 Honda CR-V EX-L,56158,4.8,1862,Used,1695,25999
2017 Lexus RX 350 350,24000,4.8,4891,Used,7035,36799
2021 Mercedes-Benz S-Class S 580 4MATIC,68291,4.8,2800,Mercedes-Benz Certified,1343,126883
2019 Honda CR-V EX-L,5559,3.9,67,Used,648,32997
2017 Subaru Forester 2.5i,12996,4.8,4636,Used,1009,14991
2021 Mercedes-Benz C-Class C 300 4MATIC,76782,3.6,21,Mercedes-Benz Certified,596,43625
2017 Honda Accord LX,9787,4.8,86,Used,1037,21998
2019 BMW X5 xDrive40i,77551,4.9,4050,Used,112,58242
2019 Ford F-150 Lariat,11227,3.9,39,Ford Certified,1000,51999
2020 Hyundai Palisade Limited,18621,3.7,144,Used,600,51498
2019 Tesla Model 3 Long Range,10046,4.3,1341,Used,1555,47495
2020 Alfa Romeo Giulia Ti,32109,4,8,Used,250,38480
2021 Acura RDX A-Spec,17159,4.7,1462,Used,700,45500
2021 Tesla Model Y Long Range,15341,4,964,Used,500,70995
2019 Kia Forte LXS,11646,4.8,777,Used,200,15691
2020 Acura MDX 3.5L w/Technology Package,47624,4.6,128,Used,1937,42888
2019 Mercedes-Benz GLS 450 Base 4MATIC,Mileage,4.9,1520,Used,2338,46229
2019 Mercedes-Benz C-Class C 300,73815,4,59,Mercedes-Benz Certified,2157,31431
2020 Acura RDX A-Spec,19806,4.5,711,Used,400,40771
2021 Toyota Highlander Platinum,30672,4.6,316,Used,1344,53598
2015 BMW X5 xDrive50i,11937,4.5,1235,Used,112,27693
2021 BMW 228 Gran Coupe 228i sDrive Gran Coupe,88710,4.7,4336,Used,1000,42295
2021 Tesla Model Y Long Range,12217,4.7,105,Used,500,71988
2019 Alfa Romeo Stelvio Ti,15407,4.1,8,Used,199,37888
2020 RAM 1500 Laramie,19246,4.5,428,Used,1300,56998
2019 Mercedes-Benz GLA 250 4MATIC,19487,4.5,2610,Used,1000,33845
2021 Toyota 4Runner Limited,18616,4.2,1074,Used,1425,47000
2021 RAM 1500 Laramie,37001,3.6,208,Used,2001,55421
2004 Nissan Pathfinder LE Platinum,18046,4.7,1207,Used,507,3988
2021 Hyundai Palisade Limited,202374,4.6,284,Used,301,44422
2017 Volvo XC60 T6 Dynamic,18521,4.3,180,Used,1990,26799
2019 BMW 330 i xDrive,52021,3.7,3,Used,2665,36999
2017 Audi Q7 3.0T Premium Plus,31096,4.7,848,Used,905,36998
2021 BMW X1 sDrive28i,58731,4.4,11,Used,400,38488
2021 Tesla Model Y Long Range,15892,4.7,768,Used,500,71400
2020 Ford Edge Sport,12045,4.8,144,Ford Certified,975,41500
2021 Lexus GX 460 Base,25055,4.8,5265,Used,480,54795
2020 Mercedes-Benz S-Class S 560,19515,4,36,Mercedes-Benz Certified,1431,84893
2021 Jeep Wrangler Unlimited Sahara,11195,4.6,1385,Jeep Certified,2400,61500
2018 Jeep Grand Cherokee Limited,17491,3.6,21,Used,100,35507
2019 Tesla Model 3 Standard Range Plus,31958,4.3,1341,Used,442,51998
2019 BMW 740 i,22194,4.6,666,Used,1000,50990
2020 Lexus RX 350 Base,20243,4.9,2791,Used,1038,50020
2020 Cadillac XT5 Sport,17610,4.8,1614,Cadillac Certified,643,49492
2019 BMW 430 Gran Coupe i xDrive,16975,4.6,223,Used,500,35980
2019 Mazda CX-5 Grand Touring,33410,4.5,15,Used,1999,29998
2017 GMC Acadia Limited Limited,18410,4.9,6653,Used,400,24997
2019 Honda HR-V EX,38708,4.8,1019,Used,1000,23850
2021 RAM 1500 Longhorn,13289,5,2,Used,1585,63000
2019 Dodge Charger R/T,6977,4.4,1157,Used,995,27400
2019 Mercedes-Benz C-Class C 300,76682,4.8,1047,Used,1000,34333
2021 Hyundai Venue SE,15505,4.4,165,Used,3552,18000
2019 Honda Passport Touring,29317,4.4,1760,Honda Certified,400,40000
2021 Mercedes-Benz GLA 250 Base,21867,4.7,1210,Used,278,40496
2020 Acura MDX 3.5L Technology & A-Spec Pkgs,14741,4.7,1064,Used,600,46588
2019 BMW 330 i,21460,4.1,134,BMW Certified,300,39988
2018 BMW 330 i xDrive,31958,4.4,515,Used,1474,29000
2018 Cadillac XT5 Luxury,37361,4.5,114,Used,642,31037
2019 Land Rover Range Rover Velar P250 S,24848,4.8,4891,Used,2184,47520
2021 Porsche Macan S,41355,4.4,52,Porsche Certified,1500,73498
2021 GMC Yukon Denali,13320,4.5,1070,Used,1000,84994
2020 Mercedes-Benz CLA 250 Base 4MATIC,12623,4.8,409,Used,200,38500
2017 Dodge Challenger R/T,13829,4.2,5,Used,739,35899
2018 BMW X1 xDrive28i,42056,4.5,1439,Used,1800,21991
2019 BMW 330 i xDrive,Mileage,4.3,1341,Used,1500,35880
2019 Alfa Romeo Stelvio Ti,31620,4.9,4427,Used,699,38490
2021 GMC Yukon Denali,12387,4.4,694,Used,500,78395
2014 Volvo S60 T5,45141,4.2,9083,Used,1700,17590
2021 Mazda CX-5 Grand Touring,60439,4.8,1491,Used,398,32289
2020 Mercedes-Benz GLC 300 Base 4MATIC,13621,4.7,926,Mercedes-Benz Certified,100,37496
2020 Porsche Macan S,14880,5,3,Used,500,67180
2015 Audi S4 3.0T Premium Plus,15834,3.2,38,Used,2509,25999
2003 Toyota Highlander V6 (A4),62600,4.8,77,Used,400,7000
2018 Toyota 4Runner Limited,145276,2,13,Used,1408,39599
2020 Acura TLX V6 w/Technology Package,58843,4.7,1210,Used,800,35888
2019 Lexus IS 300 IS 300 F SPORT,24989,5,3,Used,1125,38998
2019 Mercedes-Benz GLA 250 Base 4MATIC,17150,4.5,1227,Used,2185,36000
2020 Ford F-150 Lariat,16748,4.8,615,Used,450,53997
2020 Mercedes-Benz GLE 450 AWD 4MATIC,20518,4.7,3487,Used,2120,64991
2019 Jeep Grand Cherokee Limited,15430,4.5,513,Used,1403,39591
2019 Jeep Grand Cherokee Limited,37637,4.2,342,Used,12718,31996
2012 Ford Focus SEL,15823,4.2,63,Used,1500,5499
2021 Toyota Avalon TRD,135809,4.7,787,Used,500,43800
2019 Ford F-450 Platinum,19999,4.8,1240,Used,1000,95977
2020 Acura MDX 3.5L,19526,5,5,Used,158,37994
2017 Mercedes-Benz C-Class C 300,20803,4.8,1174,Used,198,30999
2017 Dodge Durango R/T,14021,4.6,663,Used,3828,37995
2018 Porsche Panamera Turbo,43915,4.7,1124,Used,500,109995
2018 Jeep Grand Cherokee Limited,24322,4.6,128,Used,2000,34541
2019 BMW 330 i xDrive,48541,4.5,754,BMW Certified,1000,35995
2020 Acura MDX 3.5L w/Technology Package,33522,4.7,742,Used,864,44995
2021 Mercedes-Benz GLE 350 Base 4MATIC,16720,4.7,1680,Used,1529,63878
2017 Audi Q7 3.0T Premium Plus,13564,4.8,4891,Used,287,33895
2019 Volvo XC60 T5 Momentum,63598,3.4,484,Used,400,43962
2021 BMW M340 i xDrive,15638,4.7,1680,Used,1875,56990
2020 Tesla Model Y Long Range,16317,4.4,13,Used,245,65995
2019 Volvo XC60 T5 Momentum,9561,4.5,965,Used,300,42962
2015 Land Rover Range Rover 3.0L Supercharged HSE,33921,2.8,259,Used,1500,45995
2017 Audi Q7 3.0T Premium Plus,55108,3.7,3,Used,900,41595
2020 Tesla Model Y Long Range,21907,4.4,1384,Used,400,65781
2019 BMW M5 Competition,15614,4.7,996,Used,2001,64950
2020 Nissan Rogue SL,74883,4.7,46,Nissan Certified,959,32988
2019 Honda CR-V EX-L,18335,4.5,348,Used,540,28499
2018 Cadillac XT5 Luxury,47033,4.9,939,Cadillac Certified,590,34293
2019 BMW X5 xDrive40i,47758,4.5,665,Used,999,54995
2019 Acura RDX Technology Package,22037,2.3,15,Used,500,37959
2020 Ford Edge Titanium,49576,4.7,284,Used,1000,35292
2021 Ford Expedition Limited,18610,4.8,860,Used,1000,69495
2020 GMC Acadia SLE,12482,4.7,1661,Used,1000,30990
2019 Volkswagen Golf GTI 2.0T Rabbit Edition 4-Door,47004,4.3,6,Used,200,31999
2021 BMW 530 i xDrive,22700,3.7,3,Used,2659,53995
2020 Nissan Murano SL,10335,4.7,1221,Used,400,34000
2020 Honda Accord EX-L,39277,4.9,131,Used,500,27995
2019 BMW 530 i xDrive,14369,2.4,13,Used,764,32750
2018 GMC Sierra 2500 Denali,45670,3.9,147,Used,400,63997
2021 Toyota Highlander Platinum,38420,4.7,881,Used,550,48741
2021 Toyota Camry SE,64404,4.5,92,Used,500,31998
2014 Mercedes-Benz E-Class E 350 4MATIC,Mileage,4.8,6,Used,600,20985
2018 Ford Escape SE,94998,4.3,6,Used,499,18995
2019 Nissan Rogue SV,37229,4.6,42,Used,1510,22997
2017 Chevrolet Malibu 1LT,46491,3.6,133,Used,595,14995
2008 Honda Accord EX,61303,3.5,19,Used,500,4999
2010 Lexus ES 350 ,200000,3.8,164,Used,500,11981
2021 Honda Pilot Special Edition,132179,4,72,Used,1000,41987
2019 Honda CR-V EX-L,14060,4.7,3052,Used,1000,32992
2020 Acura TLX FWD,19238,4.7,434,Acura Certified,500,32990
2020 Mercedes-Benz S-Class S 560,16076,4.7,1288,Mercedes-Benz Certified,1000,76990
2018 BMW X3 xDrive30i,24370,4.8,1662,Used,1055,39995
2014 Lexus IS 250 Base,15479,4,60,Used,494,22444
2017 Tesla Model X 100D,46335,4.3,1571,Used,1705,67888
2019 BMW X2 sDrive28i,85281,3.6,12,Used,1200,29998
2021 Lexus RX 350 Base,45999,4.7,1997,Used,500,50488
2019 Honda CR-V EX-L,14411,4.2,762,Used,769,32405
2020 Mercedes-Benz CLA 250 Base 4MATIC,20859,4.7,474,Used,400,44658
2021 Volvo XC60 T5 Inscription,13452,4.8,1783,Used,300,51900
2017 Ford F-250 Lariat,13283,4.5,120,Used,400,60990
2016 BMW X3 xDrive28i,50891,4.6,1112,Used,1199,27287
2013 BMW M6 Base,45985,4.6,1055,Used,2000,36891
2020 Mercedes-Benz GLA 250 Base,57898,4.7,321,Mercedes-Benz Certified,300,33995
2020 Ford Mustang EcoBoost Premium,14510,4.3,1341,Used,300,33014
2019 Jaguar F-PACE 30t Prestige,38274,4.8,851,Used,170,40880
2017 Toyota Camry SE,32391,4,118,Used,1955,23025
2021 Mazda CX-9 Carbon Edition,62670,4.7,739,Used,1463,41990
2008 Mercedes-Benz GL-Class GL 450 4MATIC,11309,4.5,1353,Used,491,9500
2019 Ford Fiesta S,128000,2.8,13,Used,237,17330
2016 Mercedes-Benz AMG GT AMG GT S,12985,3.2,101,Used,112,99999
2018 Chevrolet Suburban LT,16217,4.6,1179,Used,7900,46998
2018 Chevrolet Cruze LT,37386,4.7,1661,Used,2800,13995
2019 Toyota Highlander XLE,46635,4.3,532,Used,157,38998
2019 INFINITI QX50 ESSENTIAL,28695,4.4,312,INFINITI Certified,520,35000
2014 Ford Taurus SHO,34254,4.3,281,Used,400,19799
2021 Acura RDX A-Spec,95668,4.8,851,Acura Certified,425,44497
2020 Land Rover Range Rover Velar S R-Dynamic,16250,4.8,1558,Used,1000,63885
2019 BMW 330 i xDrive,23964,4.7,833,Used,400,35950
2018 Jeep Grand Cherokee Limited,34994,4.7,434,Used,739,32884
2018 BMW X3 M40i,41990,4.4,1721,BMW Certified,1000,42843
2020 Acura TLX V6 w/Technology Package,54587,4.8,710,Acura Certified,368,39500
2019 Dodge Charger R/T,18980,4.6,258,Used,440,35942
2018 Ford Explorer XLT,45484,4.7,644,Used,1000,29990
2020 Lexus GX 460 Base,61515,4.5,6142,Used,3000,59844
2019 Lexus RX 350 F Sport,18315,3.9,35,Used,910,47495
2018 Lexus ES 350 Base,Mileage,4.5,218,Used,244,35342
2020 Ford Edge ST,22409,4.6,472,Used,199,40388
2021 Mazda CX-5 Grand Touring,19895,4.9,9504,Used,501,33292
2018 Toyota RAV4 LE,13145,4.8,1147,Used,500,25497
2021 RAM 1500 Laramie,47684,4.5,656,Used,1201,52998
2016 Toyota 4Runner Trail Premium,19312,4.5,220,Used,569,36995
2020 Land Rover Range Rover Velar S R-Dynamic,50116,4.8,368,Used,130,65921
2020 Toyota Sienna SE,17493,4.6,159,Used,970,47587
2019 Honda CR-V EX-L,11763,4.8,3314,Honda Certified,390,32791
2018 Ford F-150 XLT,15732,4.4,159,Used,1000,38855
2019 Lincoln MKZ Standard,44158,4.6,1629,Used,1191,31925
2015 Subaru Outback 2.5i Limited,17985,4.1,626,Used,400,19877
2020 BMW X3 sDrive30i,98188,4.7,2683,Used,100,41050
2020 Lexus RX 350 Base,16868,4.5,477,Used,250,49998
2019 Volvo XC90 T6 Momentum,19516,2.8,32,Used,4173,41998
2021 Ford Expedition Max Limited,57789,3.6,8,Used,1600,65685
2018 Chevrolet Cruze LS,28627,4.8,721,Used,1288,13995
2021 Kia Telluride EX,44234,4.8,523,Used,2600,47500
2021 Honda Accord Touring 2.0T,36500,4.5,1033,Used,1000,39700
2021 Toyota Highlander XSE,10565,2,13,Used,200,49900
2021 BMW X5 xDrive40i,30435,4.7,814,Used,1500,63750
2019 BMW M850 i xDrive,16425,4.6,2673,Used,834,77597
2020 BMW X5 xDrive40i,38181,5,72,Used,145,55994
2019 Mercedes-Benz GLC 300 Base,18130,4.5,189,Used,1000,29898
2019 Honda CR-V EX-L,54363,4.8,869,Used,2000,35081
2019 Porsche Cayenne Base,20191,4.7,1993,Used,9443,69990
2020 Volkswagen Tiguan 2.0T SE,13291,4.8,552,Volkswagen Certified,3034,28311
2017 Audi A4 2.0T Premium Plus,61539,4.8,5142,Used,243,28989
2021 Volkswagen Atlas 3.6 V6 SE w/ Technology R-Line,46525,4.7,2727,Used,250,42990
2021 Toyota Tacoma TRD Pro,16699,4.6,203,Used,1900,47990
2020 Acura TLX FWD,13359,4.6,1609,Acura Certified,444,30998
2021 Audi Q5 45 Premium,24810,4.6,1025,Used,998,48000
2019 Alfa Romeo Stelvio Base,18207,4.2,630,Alfa Romeo Certified,3555,31495
2017 Toyota 4Runner Limited,21240,3.6,20,Used,1033,38724
2018 Honda Accord LX,49157,4.9,1831,Honda Certified,500,25995
2018 Ford EcoSport SE,23686,4.8,718,Used,1000,22066
2019 Land Rover Discovery HSE LUXURY,38393,4.3,228,Used,1200,56950
2019 BMW 540 i xDrive,45089,4.5,174,Used,6098,41378
2019 Lexus GX 460 Base,58588,4.8,450,Used,664,46988
2020 Land Rover Defender 110 HSE,19540,4.5,612,Used,455,75900
2021 Ford F-150 Lariat,17506,4.3,461,Used,1000,60290
2019 BMW X4 M40i,18571,4.8,2161,Used,499,52002
2019 Dodge Durango GT,18732,4.8,234,Used,159,37590
2021 RAM 1500 Big Horn,14515,4.5,164,Used,3303,47954
2017 Honda CR-V EX-L,13975,4.6,1085,Honda Certified,631,33500
2021 Land Rover Discovery Sport S,42181,4.6,235,Used,500,41499
2021 BMW 330 i,17020,4.9,2769,Used,100,42554
2016 Toyota 4Runner Limited,32250,4.6,580,Used,200,36101
2019 Honda CR-V EX-L,49368,4.7,1805,Used,1001,30545
2020 Volvo XC40 T5 R-Design,49878,4.6,541,Volvo Certified,2023,39750
2020 BMW X3 M40i,22480,4.1,571,BMW Certified,500,54961
2021 Jaguar E-PACE P250 SE,13753,4.7,1680,Used,490,47333
2019 Audi Q5 2.0T Premium Plus,11062,4.8,2028,Used,2000,39997
2020 Volvo S90 T6 R-Design,16265,4.8,4560,Volvo Certified,400,50962
2020 Tesla Model Y Long Range,17500,4.6,1112,Used,3000,70470
2016 Tesla Model X 70D,15478,4.4,21,Used,225,70959
2019 Honda Civic LX,Mileage,4.5,590,Used,1700,24291
2018 Jeep Grand Cherokee Limited,19249,4.6,2337,Used,900,35977
2019 Cadillac Escalade Luxury,30505,4.8,1273,Used,625,49595
2019 Mercedes-Benz E-Class E 300,18035,4.9,21777,Used,1000,38999
2015 Porsche Macan Turbo,48036,4.8,1575,Used,1000,44991
2021 BMW X3 M40i,48983,4.8,1992,BMW Certified,1663,59995
2020 Lincoln Nautilus Reserve,12492,4.9,1899,Used,1500,48916
2020 Kia Sportage LX,16240,4.7,138,Used,3000,26000
2021 Mercedes-Benz GLE 350 Base 4MATIC,16895,4.7,1114,Used,170,68999
2019 Honda CR-V EX-L,7755,4.9,4914,Honda Certified,797,29685
2021 Mercedes-Benz GLE 350 Base 4MATIC,21344,4.7,1114,Mercedes-Benz Certified,855,68999
2018 Mercedes-Benz GLS 450 Base 4MATIC,9646,4.8,606,Used,510,50906
2019 BMW X5 xDrive40i,37827,4.9,3043,Used,200,52999
2021 BMW 330 i xDrive,35662,4.5,227,Used,799,43758
2021 Subaru Forester Limited,15596,4.9,0,Used,800,37604
2021 Porsche Macan GTS,26650,4,383,Porsche Certified,1613,89998
2021 Lexus ES 350 Base,12357,4.7,0,Used,980,45998
2019 Jeep Grand Cherokee Limited,27524,4.4,5,Used,320,39998
2019 Lexus RX 350 RX 350,29007,4.3,808,Used,800,43488
2020 Toyota Corolla LE,17825,5,175,Used,1000,18980
2013 Porsche Panamera S,48959,4.9,1571,Used,300,39995
2021 Tesla Model 3 Long Range,60342,4.6,6,Used,800,61395
2018 Ford Escape SE,19979,4.4,520,Used,805,22730
2021 Audi Q7 55 Premium,45845,4.6,404,Used,748,63895
2018 Nissan Maxima 3.5 SL,14949,4.6,30,Used,500,29884
2022 BMW X3 sDrive30i,22666,4.9,288,Used,1923,45990
