Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price
2019 Lincoln Nautilus Select,11750,4.9,1747,Used,1378,37488
2019 Honda CR-V EX-L,17690,4.6,1436,Honda Certified,808,32000
2020 Volvo XC90 T6 Momentum 7 Passenger,21967,3.8,26,Used,3089,59700
2019 Honda Civic EX,13207,4.7,910,Used,1224,24751
2018 Lexus NX 300 Base,31489,4.8,1299,Used,129,31250
2021 GMC Yukon Denali,87236,4.3,154,Used,300,84764
2020 Jeep Grand Cherokee Limited,Mileage,4.6,2101,Used,1930,41570
2021 Audi Q7 55 Premium Plus,22193,4.8,1556,Used,500,65995
2019 Volvo XC60 T5 Momentum,12668,4.9,2114,Volvo Certified,3000,38300
2021 Jeep Grand Cherokee Laredo X,37528,4.4,0,Used,719,40490
2021 Tesla Model 3 Standard Range Plus,28301,4,1446,Used,1600,53500
2019 Buick Envision Essence,10381,4.2,32,Used,200,29630
2019 Nissan Murano SL,18802,4.7,548,Used,600,29395
2019 Audi A3 2.0T Premium,18263,4.9,1120,Used,587,28700
2019 Honda CR-V Touring,13662,4.8,5482,Honda Certified,1000,30000
2020 Ford F-150 Lariat,35079,4.5,450,Ford Certified,1000,55000
2021 Porsche Macan S,18589,4.8,172,Used,988,70995
2021 Acura TLX A-Spec,15882,4.5,1476,Used,600,43995
2019 BMW 330 i,20298,4.9,811,Used,300,33995
2019 GMC Acadia Denali,46613,3.6,304,Used,499,40998
2020 BMW X5 xDrive40i,45476,4.9,33,Used,500,58604
2020 Subaru Ascent Touring 7-Passenger,37092,4.8,63,Used,196,40782
2020 Chevrolet Trax LS,37200,4.7,1636,Used,1001,19900
2021 Chevrolet Suburban High Country,31582,4.8,1148,Used,879,81998
2019 Chevrolet Traverse LS,17110,4.2,985,Used,500,29350
2019 Ford Edge ST,31347,4.1,184,Used,1022,37997
2017 Mercedes-Benz C-Class C 300,60801,4.5,134,Used,844,29000
2018 Subaru Outback 2.5i Limited,17953,4.5,1369,Used,759,24597
2020 RAM 1500 Limited,86736,4.9,1174,Used,1219,57957
2020 RAM 1500 Laramie,22047,4.9,3615,RAM Certified,1000,52000
2020 BMW X5 xDrive40i,17100,4.7,3443,BMW Certified,1273,57892
2019 BMW M550 i xDrive,21767,4.8,1124,BMW Certified,1550,54995
2019 Lincoln MKZ Reserve I,39051,4.6,1473,Used,1000,37991
2021 Audi Q7 45 Premium,39575,4.9,56,Used,861,61894
2020 Toyota Tundra SR5,17173,4.9,1111,Used,800,55088
2020 Subaru Ascent Touring 7-Passenger,18645,4.6,515,Used,1000,41977
2019 Honda CR-V EX-L,36937,4.6,121,Used,600,33295
2016 Jaguar F-TYPE S,11963,4.8,36,Used,1734,53486
2018 BMW 430 i xDrive,24166,4.8,162,Used,1951,34924
2019 Volvo XC60 T6 Inscription,60764,4.1,1444,Used,611,43000
2017 Chevrolet Equinox LS,23902,4.6,28,Used,196,14999
2021 Tesla Model 3 Long Range,65612,4.2,800,Used,200,61991
2020 Nissan Rogue S,12240,4.8,548,Used,150,21995
2021 Toyota RAV4 LE,18447,4.8,1397,Used,2686,32793
2019 BMW X5 xDrive40i,10285,4.8,760,Used,1000,53000
2021 Mazda CX-9 Grand Touring,23900,4.7,839,Used,599,41203
2019 BMW X7 xDrive40i,13223,4.9,1669,Used,1500,70200
2021 Kia Sorento SX,31507,4.8,437,Used,7400,47997
2019 Honda CR-V EX-L,12720,4.7,1558,Honda Certified,232,32397
2016 Audi A7 3.0T Premium Plus,21505,4.6,1685,Used,1500,37955
2018 BMW X2 xDrive28i,38277,4.7,2432,Used,600,29000
2018 Jeep Compass Latitude,40731,4.7,516,Used,2396,24998
2020 Dodge Challenger SXT,21701,4.5,1123,Dodge Certified,1000,32443
2019 Honda Odyssey EX-L,11852,4.9,620,Used,2600,36549
2020 Subaru Ascent Premium,43985,4.4,79,Used,500,29500
2021 BMW 330 i,19000,4.6,1577,Used,489,41388
2019 Land Rover Discovery SE,13084,4.6,381,Used,2000,40298
2020 Acura TLX FWD,48677,3.7,132,Acura Certified,1950,32568
2021 Lexus RX 350 F SPORT Appearance,20051,4.5,11,Used,2439,52988
2019 Honda Civic Sport,19775,4.7,376,Used,500,26860
2019 Alfa Romeo Giulia Ti,20941,4.6,23,Used,400,33600
2021 Lexus NX 300 Base,37559,4.5,666,Used,429,38959
2020 BMW 530 i,30569,4.8,811,Used,660,41995
2017 Mercedes-Benz AMG G 63 Base,23021,1.8,1253,Mercedes-Benz Certified,1600,120499
2016 Jaguar F-TYPE S,Mileage,4.6,36,Used,1228,51994
2017 Acura MDX 3.5L w/Technology Package,17880,3.3,33,Used,4110,34500
2018 BMW 328d Base,52802,4.4,1577,Used,3379,25886
2016 Dodge Durango Limited,48689,4.5,1544,Used,1000,27954
2018 Porsche Macan S,58070,4.7,112,Used,400,50862
2020 Ford Expedition XLT,18793,4.9,1039,Used,390,55997
2021 Volkswagen Tiguan 2.0T SE,19221,4.5,791,Used,434,28998
2019 BMW X6 xDrive35i,12363,4.1,610,BMW Certified,562,58500
2019 Honda Passport EX-L,36655,4.7,998,Used,1400,35213
2020 Mercedes-Benz GLC 300 Base 4MATIC,41260,4.2,43,Used,908,42988
2016 Acura MDX 3.5L,18416,4.5,848,Used,1000,27494
2021 Toyota Tundra SR5,59982,4.6,250,Used,729,43889
2019 BMW X5 xDrive40i,19942,4.6,2052,BMW Certified,833,56991
2021 Subaru Impreza Premium,30453,4.8,397,Used,790,26490
2019 Acura RDX Technology Package,17123,3.7,11,Used,427,38588
2020 Nissan Rogue SL,13120,4.4,962,Used,1001,34746
2020 Porsche Macan S,12347,4.5,203,Used,410,65860
2021 Hyundai Palisade SEL,18393,4.8,1475,Used,1365,43622
2020 INFINITI QX60 Pure,12192,4.8,1210,Used,2604,36592
2020 BMW X5 xDrive40i,19606,4.6,397,Used,102,57686
2019 Lexus RX 350 350,17795,4.7,434,Used,1000,46622
2020 Alfa Romeo Stelvio Base,13156,4.6,1609,Alfa Romeo Certified,1232,33695
2018 RAM 2500 Laramie,22025,4.3,903,RAM Certified,300,63089
2020 Nissan Pathfinder Platinum,49732,4.9,2762,Used,1500,31990
2012 Chevrolet Cruze LTZ,48635,3,30,Used,500,5995
2017 Ford Escape Titanium,205456,4.8,119,Used,5000,25500
2020 Audi Q5 45 Premium Plus,42752,4.7,939,Used,331,44000
2016 GMC Sierra 1500 SLT,15179,4.7,211,Used,3000,38995
2019 Jeep Grand Cherokee Limited,39007,4.7,39,Used,600,35963
2021 BMW X3 M40i,36268,4.8,1992,BMW Certified,982,58995
2017 Honda CR-V EX,11292,3.4,24,Used,1000,23999
2021 Toyota Highlander XLE,10254,4.6,381,Used,721,41740
2019 Mercedes-Benz CLA 250 Base,21474,4,84,Used,189,34999
2019 Nissan Murano SV,15895,4.4,343,Nissan Certified,802,27756
2020 BMW X3 sDrive30i,39185,4.7,1338,Used,1012,35895
2020 RAM 1500 Laramie,48977,4.9,6307,Used,644,48999
2020 INFINITI QX60 Luxe,18189,3.6,203,Used,2017,38209
2019 Mitsubishi Outlander ES,47662,5,5,Used,4105,19568
2020 Toyota Corolla LE,88421,4.3,392,Used,596,21099
2019 Honda Pilot EX-L,45765,4.3,99,Used,499,33540
2019 Lexus NX 300 F Sport,41907,4.4,1721,Used,600,33191
2019 Honda CR-V EX-L,50513,4.6,1353,Honda Certified,1100,29765
2020 Ford Escape SEL,15638,4.7,6038,Used,1000,29484
2018 Toyota RAV4 LE,15680,3.8,6,Used,350,25460
2015 Toyota 4Runner Limited,82704,4.8,780,Used,499,32499
2012 Honda Accord LX,Mileage,4.2,101,Used,464,7995
2013 Chevrolet Tahoe LTZ,147172,4.7,927,Used,1209,27988
2019 Nissan Altima 2.5 SL,80482,4.4,1147,Used,170,21900
2015 Jaguar F-TYPE R,27181,4.6,1233,Used,934,55100
2019 BMW 330 i,30529,4.6,1617,Used,500,34789
2016 Bentley Flying Spur V8,35744,3.3,239,Used,573,86895
2019 Honda CR-V EX-L,38357,4.9,7396,Honda Certified,1000,31363
2019 Mercedes-Benz GLA 250 Base 4MATIC,37370,4.8,1790,Used,991,31998
2018 Mercedes-Benz E-Class E 400,48728,4.3,1341,Used,999,42880
2021 RAM 1500 Laramie,47281,4.8,577,Used,1000,52652
2019 GMC Acadia SLE-2,13532,4,32,Used,580,29343
2019 Mercedes-Benz GLS 450 Base 4MATIC,13418,4.7,2073,Used,500,60987
2021 Tesla Model Y Performance,17272,4.8,2598,Used,1000,75950
2021 BMW X3 sDrive30i,35156,4.9,3043,Used,600,44999
2019 Audi Q5 2.0T Premium,38284,4.5,1776,Used,2000,34997
2020 GMC Sierra 3500 Denali,21835,4.3,58,Used,400,80950
2021 Ford F-150 Lariat,16899,4.8,152,Used,1000,56895
2019 Maserati Ghibli S Q4,19295,4.3,1341,Used,100,47880
2020 INFINITI QX60 Luxe,38773,4.5,20,Used,957,28993
2017 Chevrolet Equinox LT,62411,4.2,909,Used,1000,12991
2017 Subaru Outback 2.5i Limited,110439,4.7,5762,Used,7190,27995
2019 Honda CR-V EX-L,31865,4.3,180,Used,2037,31999
2020 Dodge Journey SE Value,11329,4.3,0,Used,245,22490
2021 Subaru Crosstrek Limited,42551,4.6,104,Used,1050,28995
2019 Honda CR-V EX-L,12428,4,3176,Honda Certified,1500,33000
2019 Subaru Outback 2.5i Limited,16303,4.6,56,Subaru Certified,836,31995
2021 Audi Q3 45 S line Premium,39907,4.2,56,Used,2901,44591
2014 Dodge Durango SXT,13109,4.8,53,Used,999,18495
2017 Maserati Levante S,89545,4.8,190,Used,1689,48990
2020 Acura RDX Technology Package,47213,4.7,1041,Used,100,42995
2019 MINI Hardtop Cooper,17104,4.8,2683,MINI Certified,100,24894
2019 Mercedes-Benz GLC 350e Base 4MATIC,35841,2.8,1013,Used,3178,39995
2019 BMW X3 xDrive30i,15428,4.5,32,Used,1000,36998
2021 Cadillac Escalade Premium Luxury,52748,4.9,78,Used,522,102800
2019 Subaru Crosstrek 2.0i Limited,13930,4.5,1538,Used,1036,31950
2020 Acura RDX Technology,17677,4.5,272,Used,1000,41995
2016 Porsche Macan S,13502,4.5,327,Used,1900,34503
2020 Mercedes-Benz GLC 350e Base 4MATIC,85441,4.4,1174,Used,724,39939
2018 GMC Acadia Denali,16372,4.7,641,Used,397,35250
2018 Chevrolet Suburban LT,45706,4.6,166,Used,2000,36488
2020 BMW 750 i xDrive,81663,4.3,800,Used,1500,70997
2015 Volvo S60 T5 Premier,49994,4.6,685,Used,400,21918
2020 Chevrolet Tahoe LT,21618,4.8,1489,Used,3800,45618
2018 Toyota RAV4 LE,64534,4.8,2591,Used,600,22999
2019 BMW X5 xDrive40i,49953,4.5,4891,Used,221,59990
2019 BMW X5 xDrive40i,18113,4.4,524,BMW Certified,5367,53643
2017 Honda CR-V EX-L,47289,4.8,857,Honda Certified,1001,28800
2019 Honda CR-V EX-L,37777,3.6,175,Honda Certified,1000,33733
2014 Scion xB ,36344,4.6,3,Used,2590,18998
2012 Toyota RAV4 Base,Mileage,3.4,38,Used,997,14938
2019 Subaru Crosstrek 2.0i Premium,102430,4.8,455,Used,498,28868
2019 Ford F-150 Lariat,20132,4.3,351,Used,1078,45988
2019 Volkswagen Golf Alltrack TSI S,47096,4.2,9078,Used,1000,27590
2021 Toyota Tundra SR5,23186,4.9,3596,Used,500,57999
2008 Ford E350 Super Duty ,15208,4.7,6,Used,1547,13995
2018 Mercedes-Benz C-Class C 300,128217,4.6,1963,Used,500,28993
2019 Dodge Charger SXT,39749,4.8,1636,Dodge Certified,1776,30000
2021 Land Rover Range Rover Sport HSE Silver Edition,41928,4.3,504,Used,500,79880
2019 Buick Encore Essence,48967,4.8,586,Used,584,27799
2019 Honda CR-V EX-L,13801,4.9,1005,Used,3007,32100
2019 Honda CR-V EX-L,24287,4.9,826,Honda Certified,210,31900
2017 Land Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,45357,4.9,520,Used,280,54759
2019 INFINITI QX60 Luxe,45240,4,32,Used,309,33363
2019 Honda CR-V EX-L,46805,4.9,4398,Used,1000,33999
2013 BMW 328 i,16544,4.8,2416,Used,1000,18988
2013 Honda Accord EX-L,76284,4.8,2127,Used,1392,16995
2019 Chevrolet Trax LT,104407,4.7,3968,Used,603,21997
2019 Honda Odyssey EX-L,16582,4.5,145,Used,645,42919
2019 Cadillac XT5 Luxury,15350,4.9,2658,Cadillac Certified,360,40500
2020 Ford F-350 Platinum,23710,4.6,1092,Ford Certified,1202,86971
2017 Honda Civic EX,19157,4.5,96,Used,600,18800
2021 Toyota Highlander Platinum,112792,4.6,1360,Used,870,50000
2019 Lexus RX 350 350,16396,4.9,1074,Used,700,47725
2018 Cadillac XT5 Luxury,14183,4.4,795,Used,1932,30708
2017 Acura MDX 3.5L w/Technology Package,65236,4.7,1648,Used,1110,32901
2019 Land Rover Range Rover 5.0L V8 Supercharged Autobiography,48579,4.6,115,Used,900,115995
2021 Honda Pilot EX-L,45214,4.5,2467,Used,864,41491
2021 Mercedes-Benz GLE 350 Base,16715,3.7,31,Mercedes-Benz Certified,2632,57990
2019 Subaru Crosstrek 2.0i Limited,23154,4.5,68,Used,500,25500
2018 Audi S5 3.0T Premium Plus,35894,4.2,36,Used,500,49999
2017 Mercedes-Benz C-Class C 300,39877,3.5,11,Used,202,28998
2019 Acura MDX 3.5L Technology & A-Spec Pkgs,Mileage,4.7,1531,Used,2578,39319
2021 Honda Civic LX,42770,4.9,12787,Used,1423,24803
2015 Mazda CX-9 Grand Touring,16520,4.5,749,Used,500,19952
2020 Jeep Grand Cherokee Limited,64519,4.7,6038,Used,410,36476
2002 Toyota Land Cruiser ,37389,5,2,Used,1500,13890
2008 Lexus LS 600h L Base,157000,4.4,107,Used,107,15995
2013 Ford Escape Titanium,145209,2.9,24,Used,1001,14970
2020 Jeep Grand Cherokee Limited,96344,4.4,6348,Jeep Certified,440,36500
2020 Mercedes-Benz GLE 350 Base 4MATIC,18766,3.9,467,Used,489,51000
2018 Toyota RAV4 LE,49977,4.6,467,Used,445,26989
2021 Toyota Tacoma SR5,24201,4.6,132,Used,715,37500
2020 Honda Civic LX,17937,4.9,1982,Used,342,25900
2021 Lexus IS 300 IS 300,15169,4.9,2470,Used,1000,44882
2019 BMW X5 xDrive40i,11715,4.5,929,BMW Certified,2777,50998
2019 Jeep Grand Cherokee Limited,13942,4.3,391,Jeep Certified,400,37898
2020 Honda CR-V EX,22815,4.8,4127,Honda Certified,1000,32179
2016 Honda Accord Touring,18261,4.7,61,Used,2000,23727
2021 Mercedes-Benz GLE 350 Base 4MATIC,82707,4.7,2073,Used,1000,59987
2021 Volkswagen Atlas 3.6L SE w/Technology,13776,4.2,184,Used,1360,42498
2019 Honda Pilot EX-L,19367,4.4,193,Used,1697,34550
2021 Honda Passport EX-L,38383,4.2,762,Used,611,39173
2019 Hyundai Kona SEL,19909,4.6,1629,Used,2000,24651
2019 BMW M850 i xDrive,12552,4.9,3229,Used,1196,73977
2019 Cadillac XT4 Sport,18980,4.6,1629,Used,975,35964
2021 Toyota RAV4 XLE Premium,33511,4.3,393,Used,1467,35078
2019 Ford Expedition XLT,15900,4.3,1383,Used,1000,45998
2019 Land Rover Range Rover 5.0L V8 Supercharged,48672,3.9,202,Used,592,98988
2021 Tesla Model Y Long Range,36322,4.7,730,Used,400,71000
2018 Honda Odyssey EX-L,13873,4.6,804,Used,500,25977
2019 Jeep Grand Cherokee Limited,125189,2.5,17,Used,1000,34998
2019 Chevrolet Colorado WT,35064,3.5,63,Used,600,13950
2017 Jaguar F-TYPE Premium,54234,4.4,580,Used,1001,43900
2016 Audi A5 2.0T Premium Plus,41391,4.4,107,Used,500,26995
2019 Cadillac XT5 Luxury,45047,4.5,129,Used,2775,32152
2019 INFINITI QX60 Luxe,45214,3.2,29,Used,105,34416
2020 Honda Pilot Touring 8-Passenger,38966,4.7,2258,Honda Certified,425,45000
2019 BMW 330 i,7535,4.4,1577,BMW Certified,1000,32388
2019 Alfa Romeo Stelvio Ti Sport,37300,4.5,965,Used,500,33995
2019 Jeep Cherokee Limited,48303,4.4,385,Used,500,29401
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,48612,4.9,1114,Used,1026,66999
2020 Volkswagen Tiguan 2.0T SE,39288,4.9,357,Volkswagen Certified,300,25450
2018 GMC Sierra 1500 SLT,39303,4.2,26,Used,800,42000
2021 Ford F-150 Lariat,49165,4.8,840,Used,1107,58999
2019 Ford Expedition Limited,15335,4.8,867,Ford Certified,1500,58990
2019 Honda Pilot EX-L,35086,4.6,273,Used,626,35971
2019 Audi Q7 55 Prestige,40194,4.7,658,Used,607,55900
2017 Subaru Outback 2.5i Limited,16597,4.7,927,Used,1000,26988
2019 RAM 1500 Laramie,42653,4.5,765,RAM Certified,1000,49599
2020 Toyota Camry SE,20833,4.7,690,Toyota Certified,1004,25957
2017 Chevrolet Cruze Premier,34374,4.8,432,Used,510,16495
2020 GMC Yukon SLT,77905,4.5,11,Used,196,41300
2020 Ford EcoSport S,59843,2.5,118,Used,1469,8995
2021 Acura RDX Technology Package,12475,4.8,1288,Used,1000,43997
2019 BMW 330 i,15446,4.4,133,Used,191,36998
2021 Acura TLX A-Spec,34556,4.4,312,Acura Certified,1392,41997
2018 Volvo V60 T5 Dynamic,Mileage,4.5,364,Used,1000,25999
2018 Audi Q7 3.0T Prestige,43126,4.7,327,Used,341,43990
2019 Land Rover Range Rover 5.0L V8 Supercharged Autobiography,49742,4.6,115,Used,948,117995
2019 Honda CR-V EX,44754,4.2,762,Used,2269,31559
2019 Ford Explorer XLT,12532,4.9,27885,Used,1019,28999
2020 Ford F-150 Lariat,38302,4.9,546,Used,738,53992
2015 Mercedes-Benz M-Class ML 350 4MATIC,13694,4.5,749,Used,2000,26995
2019 Mazda Mazda6 Signature,49731,4.5,590,Used,554,30900
2019 Honda CR-V EX-L,24605,4.7,3052,Used,400,31222
2018 Dodge Durango SXT,24789,5,3,Used,1000,21950
2018 Toyota RAV4 XLE,41751,4.7,319,Used,1000,27979
2019 BMW 540 i xDrive,17279,4.4,224,Used,1263,49262
2019 BMW X5 xDrive40i,15876,4.5,1396,Used,485,49900
2019 BMW X5 xDrive40i,19102,4.4,745,BMW Certified,1226,57551
2021 Lexus RX 350 Base,13206,4.9,94,Used,921,48998
2020 Ford Escape SE,16824,4.6,472,Used,1841,26188
2020 Lexus RX 350 350,13066,4.3,1366,Used,1319,50287
2020 Cadillac Escalade Platinum,31702,4.5,138,Used,115,79900
2020 GMC Acadia Denali,25060,4.5,719,Used,300,42900
2019 Honda Passport Touring,23400,4.4,165,Honda Certified,4669,38500
2019 Porsche Cayenne Base,22118,4.8,505,Used,1480,69990
2020 BMW X7 xDrive40i,13015,4.5,612,Used,1835,69486
2017 Cadillac XT5 Luxury,30236,4.8,67,Used,1287,29149
2019 Honda CR-V EX-L,59972,4.7,547,Honda Certified,1059,32909
2021 GMC Yukon Denali,48627,4.8,81,Used,2228,88789
2019 Cadillac Escalade ESV Premium Luxury,11634,4.8,409,Used,505,65999
2019 Honda Odyssey EX-L,63511,4.8,1072,Used,400,40427
2015 Lexus ES 350 ,31155,3.1,21,Used,240,26998
2019 Toyota Highlander XLE,50527,4.8,1844,Used,2200,35577
2018 Cadillac XT5 Premium Luxury,47327,4.6,290,Cadillac Certified,200,35991
2021 Lexus NX 300 Base,49334,4.6,666,Used,183,41125
2020 Jeep Cherokee Limited,15538,4.9,4719,Used,1612,32394
2017 Buick Enclave Premium,11382,4.7,2229,Used,644,29991
2020 BMW X3 xDrive30i,63365,4.7,1124,BMW Certified,500,44495
2016 Mercedes-Benz GLE-Class GLE 350,14117,4.7,3487,Used,200,30991
2021 RAM 1500 Rebel,39237,4.8,1556,Used,967,56880
2017 Honda CR-V Touring,16309,4.6,135,Used,1699,31300
2021 Toyota Highlander LE,41531,4.8,3260,Used,839,32296
2016 Dodge Charger SRT 392,41668,4.4,527,Used,2000,49000
2021 Hyundai Palisade Calligraphy,51816,4.8,43,Used,2001,51411
2017 Cadillac XT5 Luxury,13774,4.7,3040,Used,276,29811
2019 Volvo S60 T6 Inscription,47691,4.5,123,Volvo Certified,4773,39333
2020 RAM 1500 Limited,13084,4.8,808,Used,425,53888
2019 Jeep Grand Cherokee Limited,Mileage,4.9,1299,Jeep Certified,164,38451
2017 Nissan Maxima 3.5 SL,34656,4.6,517,Used,143,24991
2018 Toyota RAV4 Limited,47612,4.7,1202,Used,1165,31584
2020 Volvo S90 T6 R-Design,31252,4.7,509,Used,2000,45279
2017 Ford Edge Titanium,29586,4.7,90,Used,395,20995
2018 BMW X5 xDrive35i,88234,4.1,371,Used,1000,44888
2019 Lexus RX 350 350,47025,4.8,992,Used,1714,49542
2020 BMW X5 sDrive40i,12925,3.9,60,BMW Certified,1636,56987
2021 Lexus RX 350 Base,24227,4.8,1159,Used,997,47998
2019 Mercedes-Benz GLS 450 Base 4MATIC,14227,4.7,1939,Used,100,56957
2019 Audi Q5 2.0T Premium Plus,21176,3.5,70,Used,499,41703
2020 Honda Pilot Touring 8-Passenger,20755,4.7,2258,Honda Certified,256,45000
2019 Dodge Journey SE,20420,4.4,306,Used,488,25800
2021 Toyota Highlander XLE,43083,4.4,226,Used,1000,48790
2019 Chevrolet Silverado 1500 High Country,29145,4.4,573,Chevrolet Certified,700,54501
2020 Lincoln Aviator Reserve AWD,49344,4.5,155,Used,1310,58900
2017 Ford F-150 ,19110,4.5,21,Used,1000,28500
2019 Toyota Tundra SR5,61515,4.7,365,Used,587,39948
2014 Audi Q5 2.0T Premium Plus,30136,4.7,1007,Used,450,17494
2016 Mercedes-Benz CLS-Class CLS 400,88573,4.5,1353,Used,599,33998
2020 Hyundai Santa Fe SEL 2.4,64823,4.7,721,Used,2300,35998
2019 Jeep Cherokee Limited,14792,4.2,47,Used,1006,32500
2019 Honda CR-V EX-L,16376,4.8,1373,Used,2036,30000
2021 Volkswagen Tiguan 2.0T SEL,55747,4.7,1388,Volkswagen Certified,370,33997
2019 Ford Edge Titanium,16708,4.9,2586,Ford Certified,302,32300
2019 Honda Odyssey EX-L,40657,2.7,12,Used,500,27500
2019 Jeep Cherokee Limited,26834,4.9,6307,Used,700,28000
2019 GMC Acadia SLE-2,44671,4.5,17,Used,6500,32190
2019 Lexus ES 350 ,27068,4,15,Used,647,40998
2020 Honda Pilot Touring 8-Passenger,29468,4.2,197,Used,1000,32200
2019 BMW X5 xDrive40i,35875,4.8,315,BMW Certified,1455,51999
2021 Chevrolet Tahoe Z71,33214,4.4,2914,Used,3000,73770
2019 Nissan Rogue SV,13957,4.2,548,Used,400,23995
2020 Lamborghini Urus Base,18440,3.7,13,Used,1035,291500
2021 Honda Odyssey EX-L,18228,4.6,4515,Used,2000,40651
2019 Nissan Rogue SL,32656,4.7,387,Nissan Certified,139,26699
2019 Honda Passport Touring,47899,4.6,143,Honda Certified,600,38919
2020 Toyota RAV4 LE,23545,4.5,437,Toyota Certified,300,31800
2017 Mercedes-Benz GLE 350 Base,19883,4.6,288,Used,186,30990
2020 Nissan Rogue SL,82077,4.8,692,Nissan Certified,765,29683
2015 Toyota Tacoma TRD Pro,18197,4.5,665,Used,400,24892
2020 Ford Edge SE,141920,4.7,235,Used,1130,26598
2018 Jeep Cherokee Trailhawk,21752,4.7,927,Used,1299,28493
2020 Lexus GX 460 Base,47414,4.6,583,Used,400,56995
2013 INFINITI G37 x,19030,4.8,450,Used,1595,19700
2021 Ford F-150 Limited,59700,4.7,2502,Used,441,79265
2020 INFINITI Q50 ,Mileage,4.7,919,Used,343,38605
2019 Mazda CX-5 Grand Touring,45225,5,4,Used,760,31200
2019 Honda CR-V EX-L,15439,4.4,403,Used,500,36795
2020 BMW X6 sDrive40i,12953,4.8,1406,BMW Certified,500,74995
2020 Nissan Armada SL,15008,4.9,350,Used,161,36629
2018 Audi Q7 3.0T Prestige,44820,4.8,106,Used,430,33992
2021 Tesla Model Y Long Range,97715,4.9,36,Used,1600,71950
2017 Honda Accord Sport,16142,4.8,425,Used,1232,22998
2021 Dodge Challenger R/T Scat Pack,61636,3.5,315,Used,200,48500
2012 Ford F-250 Lariat,19508,3.2,101,Used,1148,21995
2019 Mercedes-Benz S-Class S 560,209739,3.2,22,Used,500,65490
2021 Honda Passport EX-L,45743,4.7,941,Used,3500,38498
2020 Chevrolet Blazer 2LT,20091,4.8,347,Chevrolet Certified,2000,38297
2019 Subaru Outback 2.5i Premium,14140,4.9,3503,Used,300,29542
2018 Toyota RAV4 XLE,14770,4.6,174,Used,587,28247
2020 Acura MDX 3.5L w/Technology Package,15145,4.8,2794,Used,517,39500
2020 GMC Yukon SLT,36421,4.2,139,Used,300,59900
2021 Tesla Model 3 Long Range,59104,4.2,803,Used,2000,68995
2019 Lincoln MKC Reserve,18811,3.4,12,Used,1256,34998
2017 Mercedes-Benz E-Class E 300,13621,4.5,754,Used,611,27888
2018 Toyota RAV4 Limited,55568,4.9,1493,Used,2217,29898
2021 Porsche Macan Base,40905,4.7,658,Used,345,65911
2021 Lexus GX 460 Base,12290,4.3,1180,Used,1200,58995
2022 Hyundai Palisade Calligraphy,12029,4.7,1245,Used,1000,58500
2021 Mercedes-Benz CLA 250 Base,3400,4.8,1700,Mercedes-Benz Certified,500,49035
2019 Honda Pilot Touring 7-Passenger,15188,4.7,2356,Used,886,33522
2021 Lexus RX 350 F SPORT Handling,65740,4.6,651,Used,200,54990
2017 INFINITI QX80 Base,11291,3.4,13,Used,8018,34989
2017 Mercedes-Benz E-Class E 300,84016,4.6,226,Used,293,34998
2019 Honda CR-V EX-L,59327,4.8,1558,Used,2008,32000
2019 Volvo XC40 T5 R-Design,21681,4.3,63,Volvo Certified,1295,43998
2017 Ford Taurus SEL,24677,3.7,44,Used,2549,21498
2020 BMW X5 sDrive40i,39561,4.3,6,Used,1418,47990
2017 Subaru Impreza Limited,64908,4.6,582,Used,1000,17995
2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium,44780,4.5,1428,Used,2384,49991
2021 Toyota Corolla LE,17087,4.5,2421,Used,800,25988
2019 BMW 540 i xDrive,12581,4.8,9744,Used,2350,49400
2019 Volvo XC40 T5 Inscription,10609,4.5,1022,Volvo Certified,1000,36495
2021 BMW X7 M50i,34488,4.8,546,Used,1938,99999
2017 Mazda CX-5 Grand Touring,11264,4.7,141,Used,2002,27405
2018 Cadillac XT5 Luxury,31758,4.6,258,Cadillac Certified,200,34473
2015 Lexus NX 200t Base,50514,4.6,316,Used,2000,23671
2021 Audi Q7 55 Premium,120206,4.4,385,Used,2500,55998
2021 Kia Sorento LX,26905,4.4,22,Used,800,31142
2020 Land Rover Range Rover Evoque First Edition,49820,4.9,888,Used,1000,51776
2021 Buick Envision Essence,24661,3.9,64,Used,420,44190
2020 Nissan Rogue Sport S,12737,4.9,1847,Nissan Certified,999,22463
2021 Toyota 4Runner Limited,49183,4.5,3791,Used,1187,49995
2021 GMC Yukon Denali,17333,4.1,642,Used,497,85500
2021 Jeep Wrangler Unlimited 4xe Sahara,11830,3.9,202,Jeep Certified,600,58785
2020 Land Rover Defender 110 SE,13175,4.9,1877,Used,1000,76988
2014 Jeep Grand Cherokee Summit,Mileage,4.7,1462,Used,315,19680
2019 BMW 330 i xDrive,119021,4.8,1614,BMW Certified,1500,38480
2019 Ford Escape SEL,49798,4.9,364,Used,2195,25000
2020 Honda Accord LX 1.5T,12887,4.6,153,Used,750,26998
2022 Hyundai Palisade Calligraphy,14694,4.8,840,Used,1037,51949
2020 Honda Civic LX,24559,4.6,389,Honda Certified,500,28799
2020 Jeep Cherokee Limited,10859,4.6,176,Jeep Certified,222,25750
2021 Ford F-150 Lariat,24015,4.5,296,Used,700,64988
2018 Audi S4 3.0T Premium Plus,24451,4.6,178,Used,1000,44500
